Date,Close
12/19/2016,70.78
12/20/2016,71.42
12/21/2016,70.87
12/22/2016,70.03
12/23/2016,70.3
12/27/2016,70.73
12/28/2016,69.67
12/29/2016,69.82
12/30/2016,69.41
1/3/2017,70.5
1/4/2017,73.13
1/5/2017,73.42
1/6/2017,74.45
1/9/2017,79.79
1/10/2017,77.88
1/11/2017,78.23
1/12/2017,77.6
1/13/2017,77.74
1/17/2017,78.04
1/18/2017,78.62
1/19/2017,79.39
1/20/2017,79.08
1/23/2017,78.39
1/24/2017,79.03
1/25/2017,78.28
1/26/2017,76.8
1/27/2017,77.44
1/30/2017,77.81
1/31/2017,77.28
2/1/2017,77.05
2/2/2017,76.72
2/3/2017,78.6
2/6/2017,78.18
2/7/2017,78.7
2/8/2017,79.07
2/9/2017,78.62
2/10/2017,78.47
2/13/2017,78.22
2/14/2017,79.21
2/15/2017,78.96
2/16/2017,77.67
2/17/2017,77.95
2/21/2017,78.85
2/22/2017,78.7
2/23/2017,78.21
2/24/2017,78.97
2/27/2017,79.9
2/28/2017,79.69
3/1/2017,79.45
3/2/2017,78.27
3/3/2017,80.61
3/6/2017,80.21
3/7/2017,80.89
3/8/2017,80.27
3/9/2017,79.67
3/10/2017,79.14
3/13/2017,79.67
3/14/2017,79.07
3/15/2017,78.73
3/16/2017,79.7
3/17/2017,80.03
3/20/2017,79.38
3/21/2017,78.25
3/22/2017,79.07
3/23/2017,78.94
3/24/2017,78.42
3/27/2017,78.12
3/28/2017,78.75
3/29/2017,78.83
3/30/2017,80.7
3/31/2017,80.68
4/3/2017,79.33
4/4/2017,78.35
4/5/2017,77.75
4/6/2017,78.09
4/7/2017,77.93
4/10/2017,77.5
4/11/2017,77.69
4/12/2017,77.51
4/13/2017,77.54
4/17/2017,78.58
4/18/2017,79
4/19/2017,78.95
4/20/2017,80.99
4/21/2017,80.86
4/24/2017,81.39
4/25/2017,81.98
4/26/2017,81.42
4/27/2017,81.97
4/28/2017,81.76
5/1/2017,81.5
5/2/2017,81.72
5/3/2017,81.1
5/4/2017,86.14
5/5/2017,86.07
5/8/2017,86.54
5/9/2017,87.27
5/10/2017,87.79
5/11/2017,88.25
5/12/2017,87.74
5/15/2017,89.44
5/16/2017,89.36
5/17/2017,88.1
5/18/2017,88.77
5/19/2017,90.04
5/22/2017,91.73
5/23/2017,91.21
5/24/2017,92.51
5/25/2017,92.37
5/26/2017,91.85
5/30/2017,91.98
5/31/2017,91.61
6/1/2017,93.31
6/2/2017,92.39
6/5/2017,91.72
6/6/2017,92.24
6/7/2017,92.25
6/8/2017,91.08
6/9/2017,89.1
6/12/2017,89.5
6/13/2017,90.8
6/14/2017,90.4
6/15/2017,90.34
6/16/2017,89.55
6/19/2017,89.75
6/20/2017,89.11
6/21/2017,89.61
6/22/2017,90.48
6/23/2017,91.26
6/26/2017,90.25
6/27/2017,89.86
6/28/2017,91.88
6/29/2017,90.41
6/30/2017,90.32
7/3/2017,90.05
7/5/2017,89.88
7/6/2017,88.41
7/7/2017,88.99
7/10/2017,88.65
7/11/2017,88.31
7/12/2017,90.19
7/13/2017,90.68
7/14/2017,91.86
7/17/2017,91.37
7/18/2017,91.71
7/19/2017,92.8
7/20/2017,93.61
7/21/2017,93.78
7/24/2017,94.8
7/25/2017,95.01
7/26/2017,95.3
7/27/2017,94.62
7/28/2017,94.52
7/31/2017,94.37
8/1/2017,95.51
8/2/2017,95.41
8/3/2017,95.15
8/4/2017,97.72
8/7/2017,96.76
8/8/2017,96.95
8/9/2017,96.02
8/10/2017,93.64
8/11/2017,93.31
8/14/2017,94.48
8/15/2017,94.32
8/16/2017,94.6
8/17/2017,93.67
8/18/2017,93.76
8/21/2017,94.57
8/22/2017,95.85
8/23/2017,94.58
8/24/2017,94.26
8/25/2017,93.35
8/28/2017,93.87
8/29/2017,93.99
8/30/2017,94.52
8/31/2017,95.49
9/1/2017,95.52
9/5/2017,94.85
9/6/2017,94.77
9/7/2017,95.99
9/8/2017,95.09
9/11/2017,96.5
9/12/2017,98.08
9/13/2017,97.38
9/14/2017,97.03
9/15/2017,97.56
9/18/2017,96.99
9/19/2017,96.08
9/20/2017,95.62
9/21/2017,96.34
9/22/2017,95.82
9/25/2017,94.2
9/26/2017,94.35
9/27/2017,94.48
9/28/2017,93.94
9/29/2017,95.03
10/2/2017,96.13
10/3/2017,96.62
10/4/2017,96.42
10/5/2017,96.79
10/6/2017,96.95
10/9/2017,98.15
10/10/2017,98.52
10/11/2017,99.07
10/12/2017,99.06
10/13/2017,99.64
10/16/2017,99.34
10/17/2017,97.68
10/18/2017,96.87
10/19/2017,96.81
10/20/2017,97.17
10/23/2017,97.44
10/24/2017,97.74
10/25/2017,99.52
10/26/2017,100.4
10/27/2017,101.57
10/30/2017,101.88
10/31/2017,103.95
11/1/2017,102.55
11/2/2017,102.81
11/3/2017,103.61
11/6/2017,104.27
11/7/2017,103.9
11/8/2017,101.65
11/9/2017,99.32
11/10/2017,98.85
11/13/2017,99.6
11/14/2017,101.34
11/15/2017,99.39
11/16/2017,100.22
11/17/2017,100.03
11/20/2017,101.08
11/21/2017,103.21
11/22/2017,102.43
11/24/2017,103.47
11/27/2017,103.89
11/28/2017,103.55
11/29/2017,98.96
11/30/2017,100.56
12/1/2017,100.75
12/4/2017,95.96
12/5/2017,96.63
12/6/2017,97.19
12/7/2017,99.19
12/8/2017,99.37
12/11/2017,100.22
12/12/2017,100.14
12/13/2017,99.36
12/14/2017,99.54
12/15/2017,100.83
12/18/2017,101.36
12/19/2017,102.72
12/20/2017,101.72
12/21/2017,100.37
12/22/2017,100.36
12/26/2017,100.73
12/27/2017,100.33
12/28/2017,100.32
12/29/2017,100.24
1/2/2018,99.56
1/3/2018,101.71
1/4/2018,103.65
1/5/2018,103.56
1/8/2018,104.18
1/9/2018,104.81
1/10/2018,103.57
1/11/2018,104
1/12/2018,103.26
1/16/2018,104.6
1/17/2018,105.8
1/18/2018,106.18
1/19/2018,108.01
1/22/2018,109.1
1/23/2018,109.89
1/24/2018,112.17
1/25/2018,112.2
1/26/2018,113.26
1/29/2018,112.42
1/30/2018,111.38
1/31/2018,111.78
2/1/2018,111.59
2/2/2018,108.72
2/5/2018,104.98
2/6/2018,106.01
2/7/2018,106.32
2/8/2018,100.59
2/9/2018,103.93
2/12/2018,106.4
2/13/2018,106.85
2/14/2018,107.58
2/15/2018,112.35
2/16/2018,114.35
2/20/2018,114.73
2/21/2018,112.24
2/22/2018,112.02
2/23/2018,114.46
2/26/2018,114.7
2/27/2018,114.2
2/28/2018,113.39
3/1/2018,111.45
3/2/2018,113.45
3/5/2018,113.73
3/6/2018,114.18
3/7/2018,114.31
3/8/2018,114.53
3/9/2018,117.22
3/12/2018,117.83
3/13/2018,117.25
3/14/2018,117.88
3/15/2018,118.21
3/16/2018,118.01
3/19/2018,116.55
3/20/2018,117.7
3/21/2018,116.53
3/22/2018,113.51
3/23/2018,111.18
3/26/2018,114.41
3/27/2018,111.12
3/28/2018,110.08
3/29/2018,111.52
4/2/2018,109.19
4/3/2018,109.65
4/4/2018,110.42
4/5/2018,111.37
4/6/2018,108.77
4/9/2018,108.48
4/10/2018,110.69
4/11/2018,108.7
4/12/2018,109.56
4/13/2018,109.93
4/16/2018,110.44
4/17/2018,111.91
4/18/2018,112.56
4/19/2018,112.34
4/20/2018,111.28
4/23/2018,110.25
4/24/2018,109.65
4/25/2018,109.53
4/26/2018,112.16
4/27/2018,111.1
4/30/2018,113.05
5/1/2018,113.33
5/2/2018,112.57
5/3/2018,113.35
5/4/2018,112.85
5/7/2018,113.65
5/8/2018,113.96
5/9/2018,114.6
5/10/2018,116
5/11/2018,116.13
5/14/2018,114.9
5/15/2018,114.5
5/16/2018,115.17
5/17/2018,113.84
5/18/2018,113.84
5/21/2018,113.68
5/22/2018,111.92
5/23/2018,112.05
5/24/2018,112.88
5/25/2018,111.71
5/29/2018,109.34
5/30/2018,111.52
5/31/2018,111.16
6/1/2018,113.4
6/4/2018,115.37
6/5/2018,115.07
6/6/2018,117.97
6/7/2018,116.97
6/8/2018,117.08
6/11/2018,116.83
6/12/2018,118.46
6/13/2018,118.48
6/14/2018,117.75
6/15/2018,117.5
6/18/2018,117.15
6/19/2018,116.18
6/20/2018,116.9
6/21/2018,114.7
6/22/2018,114.4
6/25/2018,110.83
6/26/2018,110.52
6/27/2018,108.78
6/28/2018,109.99
6/29/2018,111.49
7/2/2018,112.41
7/3/2018,111.1
7/5/2018,112.09
7/6/2018,112.75
7/9/2018,112.98
7/10/2018,113.6
7/11/2018,116.41
7/12/2018,117.68
7/13/2018,117.95
7/16/2018,117
7/17/2018,117.94
7/18/2018,118.3
7/19/2018,117.08
7/20/2018,117.12
7/23/2018,117.81
7/24/2018,115.41
7/25/2018,117.83
7/26/2018,117.68
7/27/2018,115.25
7/30/2018,112.26
7/31/2018,112.57
8/1/2018,111.9
8/2/2018,119.18
8/3/2018,118.77
8/6/2018,118.44
8/7/2018,118.06
8/8/2018,116.17
8/9/2018,116.61
8/10/2018,116.14
8/13/2018,116.94
8/14/2018,118.35
8/15/2018,116.92
8/16/2018,118.02
8/17/2018,118.67
8/20/2018,119.29
8/21/2018,119.03
8/22/2018,120.34
8/23/2018,120.38
